t=2021-04-13T12:22:45+0000 lvl=info msg="no configuration paths supplied"
t=2021-04-13T12:22:45+0000 lvl=info msg="using configuration at default config path" path=/home/runner/.ngrok2/ngrok.yml
t=2021-04-13T12:22:45+0000 lvl=info msg="open config file" path=/home/runner/.ngrok2/ngrok.yml err=nil
t=2021-04-13T12:22:45+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-04-13T12:22:46+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-04-13T12:22:46+0000 lvl=info msg="client session established" obj=csess id=4fab9611bda6
t=2021-04-13T12:22:46+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=//localhost:1025 url=tcp://0.tcp.in.ngrok.io:13064
t=2021-04-13T12:22:47+0000 lvl=info msg=start pg=/api/tunnels id=f2022f4f332de910
t=2021-04-13T12:22:47+0000 lvl=info msg=end pg=/api/tunnels id=f2022f4f332de910 status=200 dur=1.182324ms
t=2021-04-13T12:24:04+0000 lvl=info msg="join connections" obj=join id=0114ae949f14 l=127.0.0.1:1025 r=180.243.3.57:39649
t=2021-04-13T12:24:06+0000 lvl=info msg="join connections" obj=join id=23f934eb74fd l=127.0.0.1:1025 r=180.243.3.57:58700
t=2021-04-13T12:24:10+0000 lvl=info msg="join connections" obj=join id=c75449f5eb93 l=127.0.0.1:1025 r=45.251.33.122:1305
t=2021-04-13T12:24:12+0000 lvl=info msg="join connections" obj=join id=6be69ef68e9d l=127.0.0.1:1025 r=39.34.130.135:41046
t=2021-04-13T12:37:30+0000 lvl=info msg="join connections" obj=join id=d6b0c519d024 l=127.0.0.1:1025 r=45.251.33.122:1205
t=2021-04-13T12:37:31+0000 lvl=info msg="join connections" obj=join id=4015f3458cda l=127.0.0.1:1025 r=45.251.33.122:1284
t=2021-04-13T12:38:01+0000 lvl=info msg="join connections" obj=join id=15dd6d5d2325 l=127.0.0.1:1025 r=45.251.33.122:1292
t=2021-04-13T12:52:58+0000 lvl=info msg="join connections" obj=join id=79a0a5eaf98c l=127.0.0.1:1025 r=180.243.3.57:40153
t=2021-04-13T12:53:00+0000 lvl=info msg="join connections" obj=join id=30e14c6db8ce l=127.0.0.1:1025 r=180.243.3.57:58854
t=2021-04-13T13:05:29+0000 lvl=info msg="join connections" obj=join id=9b9320dca608 l=127.0.0.1:1025 r=39.34.130.135:41028
t=2021-04-13T13:07:16+0000 lvl=info msg="join connections" obj=join id=e2725000bf38 l=127.0.0.1:1025 r=180.243.3.57:59190
t=2021-04-13T13:14:32+0000 lvl=info msg="join connections" obj=join id=26239be0aa0a l=127.0.0.1:1025 r=39.34.130.135:41002
t=2021-04-13T13:20:10+0000 lvl=info msg="join connections" obj=join id=5f8c7bf75de7 l=127.0.0.1:1025 r=180.243.3.57:59316
t=2021-04-13T13:20:11+0000 lvl=info msg="join connections" obj=join id=18870ee1eb6d l=127.0.0.1:1025 r=180.243.3.57:42419
t=2021-04-13T13:48:50+0000 lvl=info msg="join connections" obj=join id=954f4410e8e9 l=127.0.0.1:1025 r=45.251.33.122:1833
t=2021-04-13T13:48:52+0000 lvl=info msg="join connections" obj=join id=4f58d8310939 l=127.0.0.1:1025 r=45.251.33.122:1842
t=2021-04-13T13:51:18+0000 lvl=info msg="join connections" obj=join id=9c84bcafd713 l=127.0.0.1:1025 r=45.251.33.122:1305
t=2021-04-13T13:51:20+0000 lvl=info msg="join connections" obj=join id=a12b4d44c57f l=127.0.0.1:1025 r=45.251.33.122:1331
t=2021-04-13T13:57:54+0000 lvl=info msg="join connections" obj=join id=75d42a5530aa l=127.0.0.1:1025 r=45.251.33.122:1952
t=2021-04-13T13:57:55+0000 lvl=info msg="join connections" obj=join id=a27d39d1c950 l=127.0.0.1:1025 r=45.251.33.122:1963
